,,CHENNAI CRIME REPORT DETAILS,,,,,,,,,,,,,
,,80,Road accident,31/8/2018,7/12/2018,Minjur,Date - 31/8/2018 time - 5:45pm Place - Minjur Incident details - 3 people killed in a bike accident. suspects not found.,Pending,,,,,,,
,,81,Arms Trafficking,10/9/2018,3/4/2018,Ennore,Date - 11/12/2019 time - 8:45pm Place - Ennore Incident details - 2 Arm-dealers escaped. 4 sniper-rifles and 3 machine guns seized.,Pending,,,,,,,
,,82,Child trafficking,11/12/2018,31/8/2018,Sholavaram,Date - 11/12/2019 time - 8:45pm Place - Sholavaram Incident details - 2  girls and 2 boys of age 10-15 found near a water body. Previously reported missing.,Pending,,,,,,,
,,83,Cyber bullying ,1/9/2018,10/9/2018,Athipattu,Date - 11/12/2019 time - 8:45pm Place - Athipattu Incident details -  Girl of 19-years old attempts suicide due to exposure of compromising pictures of her. 2 Accused.,Solved,,,,,,,
,,84,Domestic violence,5/10/2018,11/12/2018,KK Nagar,Date - 11/12/2019 time - 8:45pm Place - KK nagar Incident details - A girl of 5 years old molested by brother and uncle.,Solved,,,,,,,
,,85,Rape,29/5/2018,1/9/2018,Urapakkam,Date - 11/12/2019 time - 8:45pm Place - Urapakkam Incident details - A 20-year old girl sexually abused by 3 men.,Solved,,,,,,,
,,86,Theft,5/6/2018,5/10/2018,Guduvanchery,Date - 11/12/2019 time - 8:45pm Place - Guduvanchery Incident details - A woman stolen of 3 gold chains in Gym. 1 suspect,Pending,,,,,,,
,,87,Murder,6/9/2018,29/5/2018,Adambakkam,Date - 11/12/2019 time - 8:45pm Place - Adambakkam Incident details - 1 boy murdered in their school bathroom.,Pending,,,,,,,
,,88,Illegal Drug trading,3/7/2018,5/6/2018,Ashok Nagar,Date - 11/12/2019 time - 8:45pm Place - Ashok Nagar Incident details - 3 arrested for selling MDMA drugs in a Bar. ,Solved,,,,,,,
,,89,Corruption,26/12/2019,6/9/2018,Puzhal,Date - 11/12/2019 time - 8:45pm Place - Puzhal Incident details - 2 arrested for giving bribes for loan.,Solved,,,,,,,
,,90,Fraud,3/4/19,3/7/2018,Mannadi,Date - 11/12/2019 time - 8:45pm Place - Mannadi Incident details - A woman arrested for scamming 23 people for acting as a financial advisor and cheating them off of 87 lakhs.,Pending,,,,,,,
,,91,Dowry,23/11/19,26/12/2019,Basin Bridge,Date - 11/12/2019 time - 8:45pm Place - Basin Bridge Incident details - Groom and parents booked asking for 20 lakh cash and a SUV as dowry. ,Solved,,,,,,,
,,92,Domestic violence,22/12/20,3/4/19,ICF Colony,Date - 11/12/2019 time - 8:45pm Place - ICF Colony Incident details - ,Pending,,,,,,,
,,93,Drugs,26/11/2020,23/11/19,Jamalia,Date - 11/12/2019 time - 8:45pm Place - Jamalia Incident details - A man killed by his wife with kitchen knife.,Solved,,,,,,,
,,94,Aggravated crime,14/09/2019,22/12/20,Otteri,Date - 11/12/2019 time - 8:45pm Place - Otteri Incident details - A man killed by his wife with kitchen knife.,Pending,,,,,,,
,,95,Suicide,11/12/2019,26/11/2020,Anna Nagar,Date - 11/12/2019 time - 8:45pm Place - Anna Nagar Incident details - A man killed by his wife with kitchen knife.,Pending,,,,,,,
,,96,Murder,31/10/2020,14/09/2019,Kundrathur,Date - 11/12/2019 time - 8:45pm Place - Kundrathur Incident details - A man killed by his wife with kitchen knife.,Pending,,,,,,,
,,97,Robbery,12/12/2019,11/12/2019,Padi,Date - 11/12/2019 time - 8:45pm Place - Padi Incident details - A man killed by his wife with kitchen knife.,Solved,,,,,,,
,,98,Terrorist attack,11/11/2018,31/10/2020,Pudur,Date - 11/12/2019 time - 8:45pm Place - Pudur Incident details - A man killed by his wife with kitchen knife.,Solved,,,,,,,
,,99,Corruption,26/12/2019,6/9/2018,Puzhal,Date - 11/12/2019 time - 8:45pm Place - Puzhal Incident details - A man killed by his wife with kitchen knife.,Pending,,,,,,,
,,100,Fraud,3/4/19,3/7/2018,Mannadi,Date - 11/12/2019 time - 8:45pm Place - Mannadi Incident details - A man killed by his wife with kitchen knife.,Solved,,,,,,,
